ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  8.6G   27G  25% /
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  6.1G   36G  15% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  452K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  680G  252G  74% /var/lib/ceph/osd/ceph-49
/dev/sdf        932G  704G  228G  76% /var/lib/ceph/osd/ceph-50
/dev/sdg        932G  656G  276G  71% /var/lib/ceph/osd/ceph-51
/dev/sdh        932G  474G  458G  51% /var/lib/ceph/osd/ceph-52
/dev/sdi        932G  724G  209G  78% /var/lib/ceph/osd/ceph-53
/dev/sdj        932G  680G  252G  74% /var/lib/ceph/osd/ceph-54
/dev/sdk        932G  553G  379G  60% /var/lib/ceph/osd/ceph-55
/dev/sdl        932G  492G  440G  53% /var/lib/ceph/osd/ceph-56
/dev/sdm        932G  589G  343G  64% /var/lib/ceph/osd/ceph-57
/dev/sdn        932G  681G  251G  74% /var/lib/ceph/osd/ceph-58
/dev/sdo        932G  498G  434G  54% /var/lib/ceph/osd/ceph-59
/dev/sdp        932G  699G  233G  75% /var/lib/ceph/osd/ceph-60

