top - 11:49:58 up 92 days, 23:56, 44 users,  load average: 1.68, 1.78, 1.84
Tasks: 491 total,   1 running, 488 sleeping,   0 stopped,   2 zombie
Cpu(s):  0.1%us,  0.0%sy,  0.0%ni, 99.7%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  20590672k total, 20013856k used,   576816k free,   638924k buffers
Swap:        0k total,        0k used,        0k free, 17334004k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                        
  111 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 md                                                                                                             
  113 root      20   0     0    0    0 S  0.0  0.0   0:03.26 khungtaskd                                                                                                     
  114 root      20   0     0    0    0 S  0.0  0.0   1:55.82 kswapd0                                                                                                        
  115 root      20   0     0    0    0 S  0.0  0.0   1:23.66 kswapd1                                                                                                        
  116 root      25   5     0    0    0 S  0.0  0.0   0:00.00 ksmd                                                                                                           
  117 root      39  19     0    0    0 S  0.0  0.0   1:42.47 khugepaged                                                                                                     
  118 root      20   0     0    0    0 S  0.0  0.0   0:00.35 fsnotify_mark                                                                                                  
  119 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 crypto                                                                                                         
  124 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 kthrotld                                                                                                       
  128 root      20   0     0    0    0 S  0.0  0.0   1:09.83 kworker/7:1                                                                                                    
  130 root      20   0     0    0    0 S  0.0  0.0   0:43.51 kworker/19:1                                                                                                   
  131 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 kpsmoused                                                                                                      
  133 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 deferwq                                                                                                        
  139 root      20   0     0    0    0 S  0.0  0.0   1:33.32 kworker/13:1                                                                                                   
  141 root      20   0     0    0    0 S  0.0  0.0  16:11.84 kworker/3:1                                                                                                    
  142 root      20   0     0    0    0 S  0.0  0.0   1:09.54 kworker/14:1                                                                                                   
  144 root      20   0     0    0    0 S  0.0  0.0   0:58.65 kworker/9:1                                                                                                    
  145 root      20   0     0    0    0 S  0.0  0.0   0:52.59 kworker/20:1                                                                                                   
  152 root      20   0     0    0    0 S  0.0  0.0   0:49.25 kworker/2:1                                                                                                    
  173 root      20   0     0    0    0 S  0.0  0.0   0:18.02 kworker/21:1                                                                                                   
  186 root      20   0     0    0    0 S  0.0  0.0   1:21.76 kworker/4:1                                                                                                    
  187 root      20   0     0    0    0 S  0.0  0.0   0:37.05 kworker/10:1                                                                                                   
  188 root      20   0     0    0    0 S  0.0  0.0   1:32.64 kworker/5:1                                                                                                    
  189 root      20   0     0    0    0 S  0.0  0.0   1:18.51 kworker/12:1                                                                                                   
  190 root      20   0     0    0    0 S  0.0  0.0   1:25.62 kworker/1:1                                                                                                    
  191 root      20   0     0    0    0 S  0.0  0.0   1:16.39 kworker/15:1                                                                                                   
  196 root      20   0     0    0    0 S  0.0  0.0   0:12.11 kworker/18:1                                                                                                   
  197 root      20   0     0    0    0 S  0.0  0.0   0:44.10 kworker/11:1                                                                                                   
  198 root      20   0     0    0    0 S  0.0  0.0   0:57.62 kworker/22:1                                                                                                   
  199 root      20   0     0    0    0 S  0.0  0.0   1:08.56 kworker/16:1                                                                                                   
  200 root      20   0     0    0    0 S  0.0  0.0   1:11.71 kworker/17:1                                                                                                   
  201 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 ttm_swap                                                                                                       
  407 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_0                                                                                                      
  408 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_1                                                                                                      
  415 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_2                                                                                                      
  416 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_3                                                                                                      
  417 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_4                                                                                                      
  418 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_5                                                                                                      
  419 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_6                                                                                                      
  420 root      20   0     0    0    0 S  0.0  0.0   0:00.01 scsi_eh_7                                                                                                      
  421 root      20   0     0    0    0 S  0.0  0.0   2:31.99 kworker/u:4                                                                                                    
  422 root      20   0     0    0    0 S  0.0  0.0   3:01.95 kworker/u:5                                                                                                    
  527 root      20   0     0    0    0 S  0.0  0.0   1:33.29 kworker/2:2                                                                                                    
  535 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 ext4-dio-unwrit                                                                                                
  623 root      16  -4 11976 1932  344 S  0.0  0.0   0:00.13 udevd                                                                                                          
 3251 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 edac-poller                                                                                                    
 3935 root      20   0  650m  71m  31m S  0.0  0.4   1:30.82 firefox                                                                                                        
 3952 root      20   0  650m  71m  31m S  0.0  0.4   0:00.00 firefox                                                                                                        
 3953 root      20   0  650m  71m  31m S  0.0  0.4   0:01.18 firefox                                                                                                        
 3954 root      20   0  650m  71m  31m S  0.0  0.4   0:00.10 firefox                                                                                                        
 3955 root      20   0  650m  71m  31m S  0.0  0.4   0:01.73 firefox                                                                                                        
 3956 root      20   0  650m  71m  31m S  0.0  0.4   0:04.59 firefox                                                                                                        
 3960 root      20   0  650m  71m  31m S  0.0  0.4   0:04.08 firefox                                                                                                        
 3963 root      20   0  650m  71m  31m S  0.0  0.4   0:00.00 firefox                                                                                                        
 3964 root      20   0  650m  71m  31m S  0.0  0.4   0:00.00 firefox                                                                                                        
 3965 root      20   0  650m  71m  31m S  0.0  0.4   0:00.01 firefox                                                                                                        
 3986 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 kvm-irqfd-clean                                                                                                
 4027 root      20   0     0    0    0 S  0.0  0.0   0:10.87 jbd2/sda1-8                                                                                                    
 4028 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 ext4-dio-unwrit                                                                                                
 4114 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kauditd                                                                                                        
 4490 root      20   0  239m 3204  824 S  0.0  0.0   0:00.00 rsyslogd                                                                                                       
 4492 root      20   0  239m 3204  824 S  0.0  0.0   0:05.54 rsyslogd                                                                                                       
 4493 root      20   0  239m 3204  824 S  0.0  0.0   0:00.00 rsyslogd                                                                                                       
 4508 rpc       20   0 19072  924  668 S  0.0  0.0   0:06.40 rpcbind                                                                                                        
 4536 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 rpciod                                                                                                         
 4540 root      20   0 27484  332  128 S  0.0  0.0   0:00.00 rpc.idmapd                                                                                                     
 4570 dbus      20   0 22796 1880  736 S  0.0  0.0   0:13.30 dbus-daemon                                                                                                    
 4581 avahi     20   0 27972 1672 1276 S  0.0  0.0   1:10.73 avahi-daemon                                                                                                   
 4582 avahi     20   0 27760  376  168 S  0.0  0.0   0:00.00 avahi-daemon                                                                                                   
 4592 root      20   0  184m 3024 2160 S  0.0  0.0   0:13.03 cupsd                                                                                                          
 4617 root      20   0  4180  608  496 S  0.0  0.0   0:00.00 acpid                                                                                                          
 4647 root      20   0  372m 1324  884 S  0.0  0.0   0:00.00 automount                                                                                                      
 4648 root      20   0  372m 1324  884 S  0.0  0.0   0:07.35 automount                                                                                                      
 4649 root      20   0  372m 1324  884 S  0.0  0.0   0:21.44 automount                                                                                                      
 4652 root      20   0  372m 1324  884 S  0.0  0.0   0:00.00 automount                                                                                                      
 4655 root      20   0  372m 1324  884 S  0.0  0.0   0:00.00 automount                                                                                                      
 4674 ntp       20   0 26036 1456 1024 S  0.0  0.0   0:10.41 ntpd                                                                                                           
 4911 root      20   0  116m 1468 1200 S  0.0  0.0   0:00.22 abrtd                                                                                                          
 4919 root      20   0  9264  800  584 S  0.0  0.0   0:01.08 abrt-dump-oops                                                                                                 
 4970 root      20   0  120m  47m 8368 S  0.0  0.2  63:16.73 Xvnc                                                                                                           
 4975 root      20   0  240m 7024 5472 S  0.0  0.0   0:00.57 gnome-session                                                                                                  
 5139 root      20   0  240m 7024 5472 S  0.0  0.0   0:00.00 gnome-session                                                                                                  
 4976 root      20   0 48284 2068 1544 S  0.0  0.0   0:05.42 vncconfig                                                                                                      
 4990 root      20   0 20128  576  352 S  0.0  0.0   0:00.00 dbus-launch                                                                                                    
 4993 root      20   0 22144 1512  620 S  0.0  0.0   1:33.31 dbus-daemon                                                                                                    
